gene,SRR13587899,SRR13587900,SRR13587901,SRR13587902,SRR13587903,SRR13587904
Zm00001d051052,115.854446,122.972549,129.961136,115.63256799999999,113.735367,104.17086
Zm00001d051053,11.522587,9.212602,11.943075,24.99246,24.378147,18.12471
Zm00001d051054,5.114189,4.682967,7.362147,28.648360999999998,36.343071,29.958126
Zm00001d051055,64.808548,62.946323,68.40565500000001,61.975502,63.292366,74.229591
Zm00001d051056,25.534948,24.684763,28.905626,55.71994,53.713676,50.663551
Zm00001d051057,17.258047,22.46829,21.816098999999998,13.613813,13.111963000000001,20.276498999999998
Zm00001d051060,15.053918,18.695435999999997,15.977278,0.143174,0.1187,0.11493099999999999
Zm00001d051061,26.032703,23.934326000000002,25.215675,22.225624,24.234612,21.068621
Zm00001d051062,15.284507000000001,13.165655,13.723484,17.836267000000003,14.429623999999999,15.899069
Zm00001d051063,12.018986,8.991392999999999,10.166915,8.769948,8.163545,11.446917
Zm00001d051064,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051065,86.14386,74.558708,80.711288,65.325195,71.47805799999999,72.536705
Zm00001d051066,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051067,71.20166,89.089783,86.112762,88.08431999999999,64.955109,99.381004
Zm00001d051068,0.26424000000000003,0.43089799999999995,0.342485,0.0,0.0,0.0
Zm00001d051069,8.769611,9.155648,9.161710000000001,6.996061999999999,7.059284,9.745602
Zm00001d051070,0.0,0.0,0.0,0.0,0.065255,0.0
Zm00001d051072,1.410499,2.127548,1.142519,1.347057,0.9049809999999999,0.98115
Zm00001d051075,20.660408,30.248224,26.699609999999996,22.741573000000002,16.210386,22.688784
Zm00001d051079,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051080,33.441856,38.785140999999996,26.15126,10.822644,11.940828,21.61137
Zm00001d051081,7.975691,8.600183,7.068944999999999,7.944297,6.5902460000000005,5.757324
Zm00001d051082,9.548447,7.708237,7.687805,11.189449,11.431422999999999,7.52681
Zm00001d051083,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051085,0.0,0.0,0.025974,0.0,0.0,0.0
Zm00001d051086,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051088,0.0,0.021841,0.024228,0.0,0.0,0.0
Zm00001d051089,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051090,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051091,0.0,0.0,0.10548199999999999,0.579574,0.441432,0.567565
Zm00001d051092,0.021475,0.018973,0.18062899999999998,0.059364,0.346783,0.310933
Zm00001d051093,0.013359999999999999,0.0,0.01385,0.042338,0.0,0.073128
Zm00001d051094,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051096,0.0,0.013538,0.0,0.0,0.0,0.0
Zm00001d051099,0.0,0.009818,0.0,0.0,0.0,0.0
Zm00001d051102,2.387701,2.3107509999999998,2.039469,0.0,0.0,0.0
Zm00001d051103,53.69231800000001,92.042732,86.36676,3.006686,2.5573810000000003,2.574092
Zm00001d051104,0.0,0.0,0.0,0.035983,0.0,0.0
Zm00001d051105,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051108,0.282855,0.033874,0.27374299999999996,0.377948,0.26355700000000004,0.149727
Zm00001d051109,0.0,0.0,0.0,0.01798,0.11472,0.026369999999999998
Zm00001d051110,0.102154,0.08576399999999999,0.461797,0.047108,0.0,0.09943099999999999
Zm00001d051111,5.403211,9.522287,9.15085,3.776561,2.6616470000000003,4.0999360000000005
Zm00001d051112,70.042755,63.3592,67.335411,49.029185999999996,45.393383,52.485645
Zm00001d051113,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051114,11.790042,14.316625,11.206109,19.617092,16.385603,13.409839000000002
Zm00001d051115,0.0,0.0,0.0,0.093227,0.128617,0.106458
Zm00001d051116,34.561848,24.567774,27.864254,30.078808000000002,34.098354,31.892584000000003
Zm00001d051117,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051118,0.481519,0.456617,0.103468,0.327046,0.158397,0.082717
Zm00001d051119,5.920775,6.314063,6.218422,8.971005,5.5445660000000005,7.387432
Zm00001d051120,442.70578,331.044891,393.437836,301.746582,375.766663,311.836792
Zm00001d051121,6.6273,5.236235,8.892274,3.388388,4.213724,2.895434
Zm00001d051122,0.0,0.0,0.0,0.278938,0.14849500000000002,0.158433
Zm00001d051123,0.0,0.0,0.0,0.0,0.0,0.011956
Zm00001d051125,0.095223,0.12013099999999999,0.029606999999999998,0.140757,0.031606,0.23631799999999997
Zm00001d051126,2.0193,2.3263700000000003,1.893113,1.722141,1.660289,1.298519
Zm00001d051127,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051128,2.684974,2.149542,2.282684,2.943764,5.089228,3.780564
Zm00001d051129,89.60633100000001,97.74653599999999,97.37850999999999,78.038826,64.033234,97.61245699999999
Zm00001d051130,4.675313,6.7861970000000005,3.80776,2.813487,1.9099220000000001,1.159243
Zm00001d051132,9.18153,10.815632,9.041021,0.143174,0.1187,0.11493099999999999
Zm00001d051135,38.209984000000006,40.567904999999996,41.193672,34.057091,29.366863000000002,47.476559
Zm00001d051136,8.642600999999999,9.370959,8.706724000000001,9.858773,9.084505,11.509683
Zm00001d051138,46.850719,42.764,45.22591,48.331745,52.810287,40.762215000000005
Zm00001d051139,6.17949,10.478448,7.097619,6.103462,5.3463519999999995,9.7437
Zm00001d051140,3.261804,2.8988150000000004,2.161952,6.93495,8.110807000000001,4.055655000000001
Zm00001d051141,0.766835,0.8461930000000001,0.9003690000000001,0.136213,0.129999,0.18026099999999998
Zm00001d051142,0.0,0.026242,0.051615999999999995,0.0,0.0,0.0
Zm00001d051143,1.56835,2.995568,2.5669310000000003,16.676403,13.463299,10.710749
Zm00001d051145,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051147,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051149,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051151,1.4903520000000001,2.3606979999999997,2.076675,2.183867,0.9539770000000001,1.30936
Zm00001d051154,0.0,0.0,0.107031,0.0,0.0,0.0
Zm00001d051156,4.808953,5.100148,3.6466480000000003,12.423741999999999,7.306255,4.534325
Zm00001d051157,20.47476,15.764269,22.227528,29.571934000000002,35.088531,30.880987
Zm00001d051158,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051159,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051161,0.311712,0.5097470000000001,0.21305100000000002,1.058174,0.8119890000000001,0.379206
Zm00001d051163,1.5874709999999999,1.633082,0.85562,2.227199,2.540034,2.716653
Zm00001d051164,0.496303,0.739608,0.152867,0.547392,0.379469,0.677797
Zm00001d051165,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051166,0.030652,0.0,0.037385,0.0,0.0,0.0
Zm00001d051167,0.151653,0.44404899999999997,0.276606,0.572013,0.3069,0.737504
Zm00001d051169,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051170,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051172,11.443313,12.76072,9.673594,9.563880000000001,8.99869,7.174675
Zm00001d051174,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051175,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051178,46.952728,41.165363,46.157631,30.440334000000004,29.808994000000002,31.053856
Zm00001d051179,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051180,3.324047,4.1747760000000005,3.492968,23.448521,21.052599,19.035398
Zm00001d051182,0.0,0.0,0.0,0.0,0.0,0.020824000000000002
Zm00001d051183,36.749207,47.352703000000005,41.005756,46.557697,30.154318,36.516159
Zm00001d051184,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051186,0.0,0.0,0.027417,0.0026379999999999997,0.029447000000000004,0.018437000000000002
Zm00001d051187,7.421309,10.757287,9.446228,7.508396,6.542244,8.934496000000001
Zm00001d051188,13.673607999999998,22.837029,24.059294,19.928141,15.897275,23.17462
Zm00001d051189,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051193,34.845428000000005,44.363251,40.988731,29.213296999999997,23.413464,24.814823
Zm00001d051194,0.0,0.0,0.0,0.061751,0.029424000000000002,0.0
Zm00001d051199,0.0,0.09548,0.0,0.0,0.0,0.0
Zm00001d051200,0.0,0.022867,0.0,0.0,0.0,0.0
Zm00001d051202,0.0,0.022867,0.0,0.0,0.0,0.0
Zm00001d051203,22.515654,29.987095,23.729457999999997,25.900631,20.022921,29.362955
Zm00001d051205,0.0,0.0,0.0,0.093542,0.17061099999999998,0.032279
Zm00001d051206,0.0,0.033443,0.0,0.063717,0.188326,0.16786099999999998
Zm00001d051207,10.111647,7.495738,9.120316,22.981911,25.053698,19.13942
Zm00001d051210,0.0,0.179829,0.2962,0.0,0.035017,0.0
Zm00001d051211,171.75701899999999,154.17288200000002,168.212311,167.344498,149.00618,197.395523
Zm00001d051214,25.124222,21.165820999999998,23.830496,17.308466,13.917335999999999,18.000912
Zm00001d051216,12.574656,11.407615,5.975002,17.15383,10.655068,8.346463
Zm00001d051217,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051218,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051219,19.397867,25.063349,21.206568,26.821410999999998,20.861959,17.425898
Zm00001d051223,1.682235,1.37537,1.003601,0.302805,0.8359209999999999,0.69343
Zm00001d051224,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051225,1.483751,1.7353669999999999,0.181908,0.798892,0.648721,0.6797890000000001
Zm00001d051226,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051227,34.049442,30.366910999999998,30.698895,24.438396,21.776312,23.7647
Zm00001d051229,14.105645,15.213629000000001,17.536205,17.328844,14.399545000000002,16.615005
Zm00001d051230,3.7563199999999997,6.516811,4.415361,0.0,0.0,0.0
Zm00001d051231,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051232,20.81348,24.254483999999998,26.169081,27.681877000000004,24.096909,23.284597
Zm00001d051233,11.032688,10.528754,9.848836,9.145558,9.463396000000001,11.540883000000001
Zm00001d051234,19.899437,15.793817,17.563316,19.959303,23.531166,19.146231
Zm00001d051235,43.619938,49.566868,32.452785,45.31715,38.066437,44.122253
Zm00001d051236,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051237,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051238,5.860722,5.802785,4.530026,58.769946999999995,21.604315,13.719551000000001
Zm00001d051239,0.028987,0.153657,0.060101,0.0,0.024837,0.13237100000000002
